date,description,category,transaction_type,base_amount,random_variance,amount,account_id
3/6/2025,REFUND DARAZ,Food & Dining,Debit,500,0.94,-470.0,345
10/26/2025,CHOWMEIN 1234,Other,Debit,50,1.09,-54.5,346
3/14/2025,SHELL-FUEL,Income,DEBIT,40,1.11,-44.4,347
10/20/2025,ATM WITHDRAWAL,Income,debit,10,1.06,-10.6,348
4/12/2025,AMZN MKTPLC WA,Income,Debit,50,0.92,-46.0,349
5/20/2025,ATM WITHDRAWAL,Uncategorized,Debit,40,1.05,-42.0,350
6/9/2025,ATM WITHDRAWAL,Other,debit,20,0.86,-17.2,351
1/23/2026,ATM CASH,Income,Credit,20,0.81,16.2,352
6/29/2025,NETFLIX.COM,,Credit,20,0.94,18.8,353
8/29/2025,AMZN MKTPLC WA,Entertainment,Debit,40,1.19,-47.6,354
9/10/2025,ATM WITHDRAWAL,Shopping,debit,40,1.18,-47.2,355
11/6/2025,REFUND DARAZ,Bills,DEBIT,40,1.09,-43.6,356
6/11/2025,ATM WITHDRAWAL,Other,Debit,20,0.89,-17.8,357
5/8/2025,DD-SALARY,Entertainment,Credit,50,1.07,53.5,358
9/7/2025,ATM CASH,Other,debit,20,0.94,-18.8,359
6/3/2025,AMZN MKTPLC WA,Entertainment,Debit,20,0.99,-19.8,360
1/28/2026,PAYCHECK DEPOSIT,Entertainment,Debit,40,0.94,-37.6,361
11/10/2025,AMAZON PRIME,Transportation,Debit,50,0.99,-49.5,362
10/19/2025,PAYCHECK DEPOSIT,Groceries,Credit,100,0.81,81.0,363
4/16/2025,AMZN MKTPLC WA,Entertainment,Credit,40,1.18,47.2,364
9/22/2025,INDRIVE TRIP,Bills,Credit,20,0.94,18.8,365
4/8/2025,IRANI CHIYA LOKANTHALI,Uncategorized,debit,100,0.84,-84.0,366
11/10/2025,AMAZON PRIME,Food & Dining,Debit,50,0.94,-47.0,367
8/1/2025,SAFA CHULO #1234,,debit,10,1.0,-10.0,368
8/8/2025,IRANI CHIYA LOKANTHALI,Transportation,Debit,40,0.98,-39.2,369
12/23/2025,ESEWA CASHOUT,Shopping,CREDIT,100,1.02,102.0,370
11/7/2025,NETFLIX.COM,,Credit,50,0.99,49.5,371
10/19/2025,IRANI CHIYA LOKANTHALI,Groceries,,50,0.98,49.0,372
2/19/2025,AMAZON PRIME,Income,DEBIT,20,1.05,-21.0,373
4/3/2025,CHOWMEIN 1234,Bills,Debit,10,0.97,-9.7,374
1/16/2026,WHOLE FOODS MKT,,Credit,500,1.15,575.0,375
3/25/2025,CHOWMEIN 1234,Uncategorized,DEBIT,100,1.12,-112.0,376
3/27/2025,Netflix Subscription,Entertainment,DEBIT,50,0.9,-45.0,377
2/14/2025,AMAZON PRIME,Uncategorized,Credit,100,1.18,118.0,378
1/16/2026,INDRIVE TRIP,Other,Credit,10,1.0,10.0,379
9/24/2025,AMZN MKTPLC WA,Uncategorized,Credit,20,0.8,16.0,380
2/22/2025,IRANI CHIYA LOKANTHALI,Groceries,Credit,50,0.91,45.5,381
5/16/2025,ATM WITHDRAWAL,Entertainment,debit,10,0.98,-9.8,382
7/7/2025,WHOLE FOODS MKT,Groceries,Debit,20,1.08,-21.6,383
8/4/2025,ATM CASH,Entertainment,Debit,10,0.96,-9.6,384
9/9/2025,Netflix Subscription,Other,Debit,20,1.11,-22.2,385
5/15/2025,AMZN MKTPLC WA,Bills,Debit,20,0.99,-19.8,386
6/16/2025,INDRIVE TRIP,Food & Dining,debit,50,0.85,-42.5,387
9/7/2025,Netflix Subscription,Income,Credit,500,1.17,585.0,388
4/24/2025,WHOLE FOODS MKT,Uncategorized,Credit,20,1.07,21.4,389
11/23/2025,PAYCHECK DEPOSIT,Transportation,Debit,100,1.07,-107.0,390
9/30/2025,REFUND DARAZ,Transportation,Credit,100,0.97,97.0,391
5/31/2025,NETFLIX.COM,Food & Dining,debit,20,0.99,-19.8,392
3/31/2025,IRANI CHIYA LOKANTHALI,Other,Credit,50,0.85,42.5,393
12/27/2025,AMZN MKTPLC WA,Transportation,Credit,100,0.94,94.0,394
9/13/2025,ATM WITHDRAWAL,Uncategorized,Debit,20,0.97,-19.4,395
10/16/2025,AMZN MKTPLC WA,Bills,Credit,1000,1.1,1100.0,396
3/23/2025,AMZN MKTPLC WA,Shopping,Debit,100,1.18,-118.0,397
7/10/2025,DD-SALARY,Entertainment,Debit,500,0.94,-470.0,398
10/17/2025,PAYCHECK DEPOSIT,Bills,Credit,50,0.98,49.0,399
11/30/2025,SAFA CHULO #1234,,Credit,50,0.98,49.0,400
5/18/2025,REFUND DARAZ,Income,Debit,50,1.19,-59.5,401
7/14/2025,NETFLIX.COM,Uncategorized,DEBIT,10,1.17,-11.7,402
6/22/2025,AMAZON PRIME,Income,,20,1.2,24.0,403
6/15/2025,SHELL OIL 9876,Bills,Credit,20,1.12,22.4,404
2/3/2025,NETFLIX.COM,Income,debit,40,1.19,-47.6,405
4/7/2025,SHELL OIL 9876,Uncategorized,Debit,100,1.04,-104.0,406
10/8/2025,SHELL-FUEL,Bills,debit,50,1.0,-50.0,407
10/7/2025,SHELL OIL 9876,Food & Dining,debit,20,0.97,-19.4,408
6/2/2025,DD-SALARY,Food & Dining,debit,40,1.09,-43.6,409
7/27/2025,IRANI CHIYA LOKANTHALI,Income,Debit,20,1.16,-23.2,410
11/22/2025,NETFLIX.COM,Uncategorized,,50,1.05,52.5,411
6/16/2025,ATM CASH,Entertainment,Debit,50,1.04,-52.0,412
11/6/2025,SAFA CHULO #1234,Transportation,Credit,10,1.0,10.0,413
1/28/2026,AMZN MKTPLC WA,Shopping,CREDIT,100,1.2,120.0,414
3/25/2025,SAFA CHULO #1234,Uncategorized,debit,1000,1.11,-1110.0,415
3/30/2025,NETFLIX.COM,Income,,100,0.82,82.0,416
2/12/2025,AMZN MKTPLC WA,Shopping,Debit,50,1.09,-54.5,417
2/10/2025,AMZN MKTPLC WA,Bills,debit,20,1.19,-23.8,418
6/23/2025,AMZN MKTPLC WA,Groceries,debit,10,1.09,-10.9,419
2/13/2025,ATM WITHDRAWAL,Food & Dining,debit,100,1.02,-102.0,420
5/1/2025,CHOWMEIN 1234,Uncategorized,Debit,20,0.83,-16.6,421
9/22/2025,SAFA CHULO #1234,Income,DEBIT,50,0.98,-49.0,422
12/10/2025,REFUND DARAZ,Groceries,Credit,1000,0.88,880.0,423
11/19/2025,ESEWA BALANCE TRANSFER,Income,debit,100,0.87,-87.0,424
1/14/2026,ATM CASH,Transportation,DEBIT,500,1.17,-585.0,425
8/15/2025,CHOWMEIN 1234,Groceries,Debit,20,0.92,-18.4,426
7/25/2025,ESEWA CASHOUT,Other,debit,100,1.03,-103.0,427
6/1/2025,DD-SALARY,Food & Dining,Credit,20,0.86,17.2,428
2/19/2025,SHELL OIL 9876,Uncategorized,DEBIT,100,1.18,-118.0,429
9/13/2025,CHOWMEIN 1234,Other,Debit,20,1.07,-21.4,430
10/16/2025,Netflix Subscription,Uncategorized,Credit,40,1.09,43.6,431
7/27/2025,ATM WITHDRAWAL,Uncategorized,Debit,100,0.98,-98.0,432
5/7/2025,SHELL-FUEL,Food & Dining,Debit,50,1.17,-58.5,433
11/6/2025,ATM WITHDRAWAL,,Credit,50,0.85,42.5,434
6/23/2025,ATM WITHDRAWAL,Groceries,Credit,50,0.89,44.5,435
1/1/2026,ESEWA CASHOUT,Transportation,Debit,50,1.16,-58.0,436
7/24/2025,SAFA CHULO #1234,Groceries,Debit,50,1.01,-50.5,437
10/2/2025,Netflix Subscription,Food & Dining,Credit,50,0.94,47.0,438
8/18/2025,PAYCHECK DEPOSIT,Food & Dining,debit,50,0.82,-41.0,439
6/2/2025,DD-SALARY,Income,debit,100,1.06,-106.0,440
6/1/2025,IRANI CHIYA LOKANTHALI,Other,debit,40,1.04,-41.6,441
12/21/2025,AMZN MKTPLC WA,Food & Dining,Credit,10,0.86,8.6,442
1/28/2026,Netflix Subscription,Other,,100,1.08,108.0,443
9/2/2025,AMAZON PRIME,Food & Dining,Credit,20,1.11,22.2,444
6/8/2025,IRANI CHIYA LOKANTHALI,Groceries,Credit,50,0.92,46.0,445
9/21/2025,NETFLIX.COM,Food & Dining,DEBIT,20,1.01,-20.2,446
8/2/2025,ESEWA BALANCE TRANSFER,Shopping,debit,100,0.95,-95.0,447
4/5/2025,DD-SALARY,Groceries,CREDIT,50,1.17,58.5,448
11/15/2025,ATM CASH,Transportation,debit,50,0.82,-41.0,449
1/11/2026,NETFLIX.COM,Food & Dining,Debit,500,0.86,-430.0,450
6/11/2025,AMZN MKTPLC WA,Transportation,debit,100,1.1,-110.0,451
1/5/2026,AMAZON PRIME,,Debit,100,0.9,-90.0,452
10/30/2025,INDRIVE TRIP,Food & Dining,Credit,20,0.98,19.6,453
2/17/2025,NETFLIX.COM,,Debit,500,1.06,-530.0,454
7/28/2025,SAFA CHULO #1234,Shopping,Credit,20,0.88,17.6,455
3/17/2025,DD-SALARY,Uncategorized,Debit,500,1.16,-580.0,456
12/2/2025,SHELL OIL 9876,Income,CREDIT,20,1.03,20.6,457
12/8/2025,Netflix Subscription,Income,DEBIT,20,0.97,-19.4,458
7/17/2025,CHOWMEIN 1234,Groceries,Credit,10,0.89,8.9,459
8/27/2025,ESEWA CASHOUT,,Debit,50,1.07,-53.5,460
9/11/2025,AMZN MKTPLC WA,Income,debit,10,0.96,-9.6,461
12/18/2025,DD-SALARY,Income,Debit,100,1.03,-103.0,462
1/26/2026,AMZN MKTPLC WA,Transportation,debit,20,1.19,-23.8,463
1/15/2026,CHOWMEIN 1234,Transportation,Credit,20,0.85,17.0,464
6/23/2025,PAYCHECK DEPOSIT,Other,,500,0.9,450.0,465
9/6/2025,INDRIVE TRIP,Food & Dining,Credit,50,0.98,49.0,466
3/21/2025,CHOWMEIN 1234,Shopping,Debit,100,1.11,-111.0,467
4/2/2025,CHOWMEIN 1234,Uncategorized,CREDIT,50,0.88,44.0,468
12/12/2025,Netflix Subscription,,Credit,40,1.15,46.0,469
6/17/2025,SHELL-FUEL,Shopping,,40,0.85,34.0,470
8/16/2025,IRANI CHIYA LOKANTHALI,Income,,1000,0.94,940.0,471
8/10/2025,DD-SALARY,Bills,Credit,100,0.82,82.0,472
10/16/2025,REFUND DARAZ,,CREDIT,10,0.87,8.7,473
9/6/2025,AMZN MKTPLC WA,Income,Debit,20,0.89,-17.8,474
4/11/2025,AMZN MKTPLC WA,Other,debit,50,1.19,-59.5,475
11/24/2025,ESEWA BALANCE TRANSFER,Groceries,CREDIT,100,0.96,96.0,476
8/7/2025,AMAZON PRIME,,DEBIT,50,0.95,-47.5,477
7/9/2025,ATM CASH,Bills,Debit,50,1.02,-51.0,478
9/22/2025,SAFA CHULO #1234,Entertainment,Debit,20,1.2,-24.0,479
11/7/2025,REFUND DARAZ,Shopping,Credit,50,1.02,51.0,480
4/1/2025,Netflix Subscription,Other,Debit,50,1.19,-59.5,481
8/3/2025,AMZN MKTPLC WA,Entertainment,Debit,20,0.83,-16.6,482
2/27/2025,NETFLIX.COM,Income,debit,100,0.89,-89.0,483
2/21/2025,LANDLORD_RENT_PAYMNT,Income,Debit,40,0.83,-33.2,484
10/4/2025,NETFLIX.COM,Uncategorized,Debit,40,0.85,-34.0,485
8/24/2025,REFUND DARAZ,,Debit,20,0.81,-16.2,486
8/10/2025,ESEWA BALANCE TRANSFER,Groceries,Debit,20,0.82,-16.4,487
7/2/2025,NETFLIX.COM,Income,debit,100,0.95,-95.0,488
7/1/2025,AMAZON PRIME,Shopping,Debit,50,1.15,-57.5,489
4/9/2025,PAYCHECK DEPOSIT,Groceries,Credit,10,0.92,9.2,490
4/16/2025,ATM CASH,Groceries,Debit,10,1.01,-10.1,491
12/14/2025,SHELL-FUEL,Bills,,100,0.83,83.0,492
8/19/2025,ESEWA BALANCE TRANSFER,,Debit,100,0.87,-87.0,493
1/13/2026,INDRIVE TRIP,Other,Credit,500,0.97,485.0,494
1/28/2026,Netflix Subscription,Transportation,Debit,20,0.92,-18.4,495
4/23/2025,Netflix Subscription,Transportation,DEBIT,50,0.83,-41.5,496
6/24/2025,Netflix Subscription,Other,Debit,100,0.85,-85.0,497
1/11/2026,IRANI CHIYA LOKANTHALI,Food & Dining,DEBIT,100,1.07,-107.0,498
1/5/2026,ATM WITHDRAWAL,Shopping,Debit,1000,0.93,-930.0,499
9/29/2025,INDRIVE TRIP,Food & Dining,Debit,50,1.12,-56.0,500
1/15/2026,REFUND DARAZ,Uncategorized,Debit,10,1.17,-11.7,501
8/8/2025,NETFLIX.COM,Income,Debit,20,0.98,-19.6,502
7/1/2025,NETFLIX.COM,Groceries,Debit,50,1.01,-50.5,503
6/3/2025,WHOLE FOODS MKT,Other,CREDIT,20,1.06,21.2,504
3/2/2025,REFUND DARAZ,Uncategorized,debit,50,0.85,-42.5,505
10/23/2025,INDRIVE TRIP,Transportation,CREDIT,40,0.99,39.6,506
11/30/2025,Netflix Subscription,Food & Dining,Credit,20,1.19,23.8,507
7/20/2025,ATM CASH,Shopping,Debit,40,0.98,-39.2,508
1/18/2026,INDRIVE TRIP,Shopping,Debit,100,0.96,-96.0,509
12/30/2025,INDRIVE TRIP,Food & Dining,debit,100,0.99,-99.0,510
12/8/2025,CHOWMEIN 1234,Bills,Credit,20,0.82,16.4,511
10/19/2025,ATM CASH,Entertainment,DEBIT,20,1.19,-23.8,512
6/20/2025,ATM WITHDRAWAL,Groceries,Credit,1000,1.01,1010.0,513
9/12/2025,PAYCHECK DEPOSIT,Uncategorized,CREDIT,50,1.03,51.5,514
6/6/2025,REFUND DARAZ,Transportation,DEBIT,50,1.2,-60.0,515
5/1/2025,PAYCHECK DEPOSIT,,Credit,50,0.84,42.0,516
3/2/2025,AMZN MKTPLC WA,Entertainment,CREDIT,50,1.1,55.0,517
5/18/2025,CHOWMEIN 1234,Uncategorized,Credit,20,1.19,23.8,518
6/9/2025,CHOWMEIN 1234,Income,Credit,500,1.04,520.0,519
8/10/2025,DD-SALARY,Transportation,Debit,100,0.97,-97.0,520
10/30/2025,IRANI CHIYA LOKANTHALI,Food & Dining,Debit,10,1.04,-10.4,521
8/2/2025,ESEWA CASHOUT,Income,Credit,50,1.15,57.5,522
4/8/2025,WHOLE FOODS MKT,Income,debit,20,0.95,-19.0,523
2/13/2025,AMZN MKTPLC WA,Groceries,DEBIT,40,0.84,-33.6,524
4/14/2025,INDRIVE TRIP,Income,Credit,40,0.88,35.2,525
10/20/2025,NETFLIX.COM,Food & Dining,Credit,1000,1.11,1110.0,526
9/23/2025,INDRIVE TRIP,,CREDIT,10,0.93,9.3,527
12/23/2025,REFUND DARAZ,Groceries,Credit,20,1.18,23.6,528
6/4/2025,WHOLE FOODS MKT,Food & Dining,Credit,40,0.85,34.0,529
12/29/2025,LANDLORD_RENT_PAYMNT,Other,Debit,1000,0.94,-940.0,530
4/9/2025,IRANI CHIYA LOKANTHALI,Groceries,Credit,100,0.9,90.0,531
7/20/2025,REFUND DARAZ,Other,DEBIT,1000,0.97,-970.0,532
1/26/2026,SAFA CHULO #1234,Food & Dining,DEBIT,40,0.96,-38.4,533
7/9/2025,Netflix Subscription,Entertainment,Credit,10,0.87,8.7,534
2/25/2025,REFUND DARAZ,Bills,debit,50,1.02,-51.0,535
5/14/2025,PAYCHECK DEPOSIT,Groceries,CREDIT,100,1.05,105.0,536
4/7/2025,INDRIVE TRIP,Other,Credit,20,1.17,23.4,537
6/20/2025,Netflix Subscription,Income,Credit,20,1.12,22.4,538
8/11/2025,LANDLORD_RENT_PAYMNT,Shopping,debit,100,1.02,-102.0,539
8/28/2025,ESEWA BALANCE TRANSFER,Food & Dining,Credit,500,1.06,530.0,540
12/25/2025,WHOLE FOODS MKT,Food & Dining,debit,50,0.86,-43.0,541
6/14/2025,IRANI CHIYA LOKANTHALI,Entertainment,Debit,100,0.92,-92.0,542
1/31/2026,SHELL OIL 9876,Shopping,Debit,100,0.91,-91.0,543
4/6/2025,SAFA CHULO #1234,Transportation,debit,10,0.91,-9.1,544
6/15/2025,AMZN MKTPLC WA,,debit,20,1.19,-23.8,545
9/1/2025,ESEWA CASHOUT,Transportation,Debit,500,1.13,-565.0,546
2/20/2025,AMAZON PRIME,Entertainment,Credit,20,1.14,22.8,547
11/30/2025,ATM CASH,Food & Dining,Credit,50,1.06,53.0,548
10/3/2025,WHOLE FOODS MKT,Groceries,Credit,100,1.09,109.0,549
9/15/2025,AMAZON PRIME,Bills,Credit,50,1.16,58.0,550
2/5/2025,SHELL-FUEL,Groceries,Credit,100,1.11,111.0,551
2/22/2025,AMAZON PRIME,Entertainment,Debit,40,0.96,-38.4,552
6/22/2025,CHOWMEIN 1234,Transportation,Debit,50,0.98,-49.0,553
7/16/2025,AMAZON PRIME,Other,Credit,50,1.2,60.0,554
2/15/2025,SHELL OIL 9876,Other,Debit,20,1.04,-20.8,555
2/13/2025,PAYCHECK DEPOSIT,Shopping,Credit,40,1.19,47.6,556
8/17/2025,ATM CASH,Transportation,debit,40,1.08,-43.2,557
12/8/2025,ATM CASH,Entertainment,debit,40,0.96,-38.4,558
6/24/2025,AMAZON PRIME,,CREDIT,40,0.99,39.6,559
5/23/2025,ESEWA CASHOUT,Transportation,CREDIT,50,1.2,60.0,560
3/28/2025,INDRIVE TRIP,Other,,100,0.97,97.0,561
3/11/2025,ESEWA CASHOUT,Uncategorized,Debit,10,0.87,-8.7,562
8/22/2025,LANDLORD_RENT_PAYMNT,Income,DEBIT,100,1.14,-114.0,563
10/27/2025,PAYCHECK DEPOSIT,Entertainment,Debit,1000,0.91,-910.0,564
10/12/2025,LANDLORD_RENT_PAYMNT,Uncategorized,Debit,100,0.83,-83.0,565
5/20/2025,AMAZON PRIME,Uncategorized,debit,20,0.89,-17.8,566
3/23/2025,SAFA CHULO #1234,Food & Dining,DEBIT,20,0.97,-19.4,567
5/16/2025,LANDLORD_RENT_PAYMNT,Bills,Credit,1000,1.15,1150.0,568
8/29/2025,PAYCHECK DEPOSIT,Shopping,Credit,100,0.89,89.0,569
1/7/2026,IRANI CHIYA LOKANTHALI,Groceries,Debit,50,1.07,-53.5,570
8/31/2025,SHELL OIL 9876,Uncategorized,debit,500,0.97,-485.0,571
11/6/2025,AMZN MKTPLC WA,Other,DEBIT,50,0.85,-42.5,572
3/15/2025,SAFA CHULO #1234,Food & Dining,Credit,20,0.82,16.4,573
12/10/2025,AMZN MKTPLC WA,Income,Debit,1000,0.98,-980.0,574
6/17/2025,ESEWA CASHOUT,Entertainment,Debit,50,0.86,-43.0,575
8/29/2025,ESEWA CASHOUT,Other,Debit,50,1.2,-60.0,576
5/9/2025,ATM CASH,,DEBIT,40,1.12,-44.8,577
12/5/2025,CHOWMEIN 1234,Shopping,Credit,20,0.88,17.6,578
4/5/2025,ATM CASH,Shopping,DEBIT,20,0.82,-16.4,579
8/3/2025,Netflix Subscription,Bills,Credit,50,1.05,52.5,580
8/19/2025,CHOWMEIN 1234,Shopping,CREDIT,50,0.91,45.5,581
10/22/2025,IRANI CHIYA LOKANTHALI,Entertainment,CREDIT,20,1.06,21.2,582
1/11/2026,CHOWMEIN 1234,Food & Dining,Credit,40,1.11,44.4,583
11/17/2025,CHOWMEIN 1234,Bills,Debit,40,0.86,-34.4,584
7/23/2025,NETFLIX.COM,Entertainment,DEBIT,20,1.11,-22.2,585
10/14/2025,ATM WITHDRAWAL,,Debit,10,0.97,-9.7,586
5/29/2025,Netflix Subscription,Shopping,Credit,40,1.18,47.2,587
2/20/2025,ESEWA BALANCE TRANSFER,Entertainment,Credit,20,1.1,22.0,588
3/30/2025,IRANI CHIYA LOKANTHALI,Bills,Credit,50,1.18,59.0,589
9/1/2025,WHOLE FOODS MKT,Income,Debit,20,1.04,-20.8,590
2/7/2025,ESEWA BALANCE TRANSFER,Entertainment,Credit,1000,1.06,1060.0,591
12/12/2025,IRANI CHIYA LOKANTHALI,Income,Debit,100,1.08,-108.0,592
11/18/2025,ATM CASH,Income,Credit,10,1.15,11.5,593
6/2/2025,ESEWA CASHOUT,Shopping,debit,50,1.07,-53.5,594
3/9/2025,SHELL OIL 9876,Bills,debit,50,0.94,-47.0,595
4/24/2025,SHELL OIL 9876,Other,Debit,20,0.81,-16.2,596
8/18/2025,AMZN MKTPLC WA,Uncategorized,debit,20,1.18,-23.6,597
4/3/2025,DD-SALARY,Entertainment,Debit,100,0.9,-90.0,598
5/16/2025,SAFA CHULO #1234,Bills,DEBIT,20,0.84,-16.8,599
7/25/2025,AMAZON PRIME,Other,Credit,40,0.81,32.4,600
10/14/2025,LANDLORD_RENT_PAYMNT,Entertainment,Credit,40,1.17,46.8,601
12/12/2025,IRANI CHIYA LOKANTHALI,Uncategorized,Credit,40,0.84,33.6,602
2/6/2025,ATM WITHDRAWAL,Bills,CREDIT,50,1.15,57.5,603
5/25/2025,SAFA CHULO #1234,Other,debit,20,1.06,-21.2,604
1/15/2026,ESEWA BALANCE TRANSFER,Uncategorized,Credit,50,0.87,43.5,605
10/14/2025,SHELL OIL 9876,,Debit,40,0.9,-36.0,606
4/10/2025,LANDLORD_RENT_PAYMNT,Shopping,Debit,20,0.92,-18.4,607
1/1/2026,SAFA CHULO #1234,Entertainment,Credit,100,1.07,107.0,608
4/9/2025,LANDLORD_RENT_PAYMNT,Entertainment,DEBIT,100,1.17,-117.0,609
5/10/2025,IRANI CHIYA LOKANTHALI,Shopping,DEBIT,100,0.9,-90.0,610
5/11/2025,AMZN MKTPLC WA,Entertainment,Credit,40,1.11,44.4,611
4/13/2025,DD-SALARY,Shopping,debit,40,0.9,-36.0,612
1/27/2026,SAFA CHULO #1234,Other,debit,10,1.03,-10.3,613
2/18/2025,LANDLORD_RENT_PAYMNT,Uncategorized,Credit,40,1.18,47.2,614
5/30/2025,Netflix Subscription,Income,Credit,50,1.12,56.0,615
1/28/2026,Netflix Subscription,,DEBIT,100,1.1,-110.0,616
1/16/2026,Netflix Subscription,Food & Dining,Debit,50,1.02,-51.0,617
8/3/2025,IRANI CHIYA LOKANTHALI,Bills,debit,500,1.11,-555.0,618
4/9/2025,AMZN MKTPLC WA,Groceries,Debit,20,1.19,-23.8,619
7/18/2025,PAYCHECK DEPOSIT,,Credit,40,1.18,47.2,620
12/16/2025,PAYCHECK DEPOSIT,Bills,Debit,100,0.93,-93.0,621
3/16/2025,Netflix Subscription,Income,debit,40,0.81,-32.4,622
11/13/2025,AMAZON PRIME,Bills,Debit,20,1.0,-20.0,623
1/9/2026,PAYCHECK DEPOSIT,Income,debit,100,0.9,-90.0,624
5/21/2025,SHELL OIL 9876,Food & Dining,Credit,20,1.19,23.8,625
9/11/2025,SHELL-FUEL,Bills,Credit,1000,0.98,980.0,626
9/3/2025,SHELL-FUEL,Transportation,debit,50,0.95,-47.5,627
7/25/2025,ATM CASH,Shopping,Credit,50,1.2,60.0,628
6/12/2025,ATM WITHDRAWAL,Entertainment,CREDIT,20,1.06,21.2,629
5/13/2025,SHELL-FUEL,Groceries,Credit,20,1.08,21.6,630
10/1/2025,PAYCHECK DEPOSIT,Groceries,Credit,100,1.04,104.0,631
1/26/2026,ATM WITHDRAWAL,Entertainment,CREDIT,50,1.16,58.0,632
3/26/2025,LANDLORD_RENT_PAYMNT,Other,Debit,50,0.89,-44.5,633
2/15/2025,INDRIVE TRIP,Uncategorized,Debit,50,0.95,-47.5,634
10/11/2025,INDRIVE TRIP,Shopping,DEBIT,10,0.83,-8.3,635
5/21/2025,Netflix Subscription,Bills,DEBIT,50,0.96,-48.0,636
7/19/2025,REFUND DARAZ,Entertainment,Credit,40,0.8,32.0,637
5/2/2025,LANDLORD_RENT_PAYMNT,Food & Dining,Credit,100,0.89,89.0,638
2/16/2025,NETFLIX.COM,Transportation,Credit,50,1.11,55.5,639
5/30/2025,WHOLE FOODS MKT,Groceries,Debit,20,0.92,-18.4,640
3/12/2025,REFUND DARAZ,Shopping,DEBIT,100,1.07,-107.0,641
6/16/2025,Netflix Subscription,Uncategorized,debit,20,0.88,-17.6,642
6/18/2025,INDRIVE TRIP,Bills,Credit,100,1.02,102.0,643
4/7/2025,PAYCHECK DEPOSIT,Transportation,Credit,50,1.14,57.0,644
8/14/2025,CHOWMEIN 1234,Groceries,debit,20,1.06,-21.2,645
1/21/2026,Netflix Subscription,Uncategorized,Debit,100,1.2,-120.0,646
4/30/2025,SHELL OIL 9876,Entertainment,,50,1.01,50.5,647
4/6/2025,DD-SALARY,Groceries,debit,50,1.0,-50.0,648
9/23/2025,WHOLE FOODS MKT,Entertainment,Debit,50,0.87,-43.5,649
1/26/2026,SHELL-FUEL,Groceries,Credit,100,1.08,108.0,650
1/14/2026,SHELL OIL 9876,Transportation,Credit,1000,1.05,1050.0,651
5/26/2025,CHOWMEIN 1234,Income,,10,0.91,9.1,652
2/10/2025,SHELL OIL 9876,Shopping,Credit,40,1.03,41.2,653
3/18/2025,SAFA CHULO #1234,Uncategorized,Credit,20,1.15,23.0,654
5/6/2025,SAFA CHULO #1234,Uncategorized,Credit,10,0.96,9.6,655
2/8/2025,Netflix Subscription,Bills,Debit,50,1.05,-52.5,656
4/22/2025,NETFLIX.COM,Uncategorized,Credit,20,1.04,20.8,657
10/16/2025,AMZN MKTPLC WA,Transportation,Debit,20,1.0,-20.0,658
11/1/2025,ESEWA CASHOUT,Income,Credit,500,0.85,425.0,659
11/14/2025,ESEWA BALANCE TRANSFER,Bills,Debit,20,1.09,-21.8,660
4/13/2025,SHELL-FUEL,Income,Debit,20,1.02,-20.4,661
8/17/2025,NETFLIX.COM,Bills,Debit,20,1.07,-21.4,662
4/27/2025,ATM WITHDRAWAL,Entertainment,Credit,40,0.9,36.0,663
2/7/2025,ESEWA CASHOUT,Uncategorized,Credit,10,0.93,9.3,664
9/1/2025,REFUND DARAZ,Other,Credit,20,0.86,17.2,665
7/14/2025,LANDLORD_RENT_PAYMNT,,debit,50,0.82,-41.0,666
8/6/2025,SHELL-FUEL,Shopping,Credit,40,1.14,45.6,667
2/19/2025,Netflix Subscription,,Debit,100,1.13,-113.0,668
6/3/2025,LANDLORD_RENT_PAYMNT,Transportation,Credit,50,1.08,54.0,669
11/10/2025,ESEWA BALANCE TRANSFER,Income,Credit,40,0.96,38.4,670
9/23/2025,AMZN MKTPLC WA,Shopping,Credit,50,1.11,55.5,671
11/16/2025,ATM WITHDRAWAL,,debit,50,0.81,-40.5,672
12/21/2025,DD-SALARY,Income,DEBIT,100,0.9,-90.0,673
1/24/2026,SHELL-FUEL,Shopping,debit,20,0.83,-16.6,674
7/24/2025,PAYCHECK DEPOSIT,Income,debit,20,1.14,-22.8,675
6/20/2025,SHELL OIL 9876,,Credit,20,1.03,20.6,676
7/29/2025,ESEWA CASHOUT,Transportation,Credit,100,0.89,89.0,677
2/16/2025,INDRIVE TRIP,,Debit,20,0.97,-19.4,678
12/7/2025,Netflix Subscription,,debit,20,1.14,-22.8,679
7/20/2025,WHOLE FOODS MKT,Transportation,Debit,20,0.98,-19.6,680
9/30/2025,WHOLE FOODS MKT,Bills,Credit,50,1.13,56.5,681
6/16/2025,ESEWA BALANCE TRANSFER,Groceries,Credit,100,1.15,115.0,682
9/24/2025,AMZN MKTPLC WA,Transportation,Debit,10,0.96,-9.6,683
7/22/2025,ATM WITHDRAWAL,Groceries,Credit,20,1.05,21.0,684
7/13/2025,IRANI CHIYA LOKANTHALI,Other,debit,100,1.14,-114.0,685
4/23/2025,CHOWMEIN 1234,Shopping,Debit,500,0.89,-445.0,686
9/12/2025,PAYCHECK DEPOSIT,Food & Dining,debit,40,1.2,-48.0,687
3/21/2025,WHOLE FOODS MKT,Uncategorized,debit,40,1.12,-44.8,688
5/18/2025,IRANI CHIYA LOKANTHALI,Bills,Credit,100,0.94,94.0,689
1/31/2026,ATM CASH,Bills,Credit,500,0.8,400.0,690
